day,dest cou,Seats,Population Density,Countries
2021-12-06,GR,75.0,81.66026053941815,Greece
2021-12-06,IN,106.03352490421456,380.7713541630226,India
2021-12-06,LB,106.03352490421456,594.6827884615385,Lebanon
2021-12-06,QA,167.5,189.43699292249264,Qatar
2021-12-06,UA,106.03352490421456,73.61357136939773,Ukraine
2021-12-06,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-07,BH,212.06704980842912,1771.8592105263158,Bahrain
2021-12-07,IN,106.03352490421456,380.7713541630226,India
2021-12-07,QA,167.5,189.43699292249264,Qatar
2021-12-07,SA,542.0670498084291,12.909915383148268,Saudi Arabia
2021-12-08,AE,393.1005747126437,69.13588516746411,United Arab Emirates (the)
2021-12-08,BD,106.03352490421456,1173.3339699162489,Bangladesh
2021-12-08,BH,318.10057471264366,1771.8592105263158,Bahrain
2021-12-08,CH,75.0,196.76405746541656,Switzerland
2021-12-08,CY,106.03352490421456,128.54794076316074,Cyprus
2021-12-08,DE,106.03352490421456,226.4689795026637,Germany
2021-12-08,IN,485.6005747126437,380.7713541630226,India
2021-12-08,LB,106.03352490421456,594.6827884615385,Lebanon
2021-12-08,MA,106.03352490421456,74.6225484268279,Morocco
2021-12-08,PH,167.5,336.6612533333333,Philippines (the)
2021-12-08,PK,75.0,250.07800199724903,Pakistan
2021-12-08,QA,169.03352490421457,189.43699292249264,Qatar
2021-12-08,UA,106.03352490421456,73.61357136939773,Ukraine
2021-12-09,AE,256.0335249042146,69.13588516746411,United Arab Emirates (the)
2021-12-09,BH,212.06704980842912,1771.8592105263158,Bahrain
2021-12-09,CH,181.03352490421457,196.76405746541656,Switzerland
2021-12-09,DE,106.03352490421456,226.4689795026637,Germany
2021-12-09,ES,106.03352490421456,95.2690781011932,Spain
2021-12-09,GB,318.10057471264366,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-09,IN,187.03352490421457,380.7713541630226,India
2021-12-09,IT,106.03352490421456,205.2668746266676,Italy
2021-12-09,KR,106.03352490421456,492.531046931408,Korea (the Republic of)
2021-12-09,NL,146.5,407.9605228317647,Netherlands (the)
2021-12-09,PH,167.5,336.6612533333333,Philippines (the)
2021-12-09,QA,63.0,189.43699292249264,Qatar
2021-12-09,RO,106.03352490421456,90.8857716944012,Romania
2021-12-09,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-11,BH,93.0,1771.8592105263158,Bahrain
2021-12-12,IT,106.03352490421456,205.2668746266676,Italy
2021-12-13,SA,106.03352490421456,12.909915383148268,Saudi Arabia
2021-12-14,AE,530.1676245210728,69.13588516746411,United Arab Emirates (the)
2021-12-14,BE,106.03352490421456,370.9372707023061,Belgium
2021-12-14,ES,106.03352490421456,95.2690781011932,Spain
2021-12-14,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-14,IN,106.03352490421456,380.7713541630226,India
2021-12-14,LB,106.03352490421456,594.6827884615385,Lebanon
2021-12-14,MA,106.03352490421456,74.6225484268279,Morocco
2021-12-14,QA,151.5,189.43699292249264,Qatar
2021-12-15,AE,287.06704980842915,69.13588516746411,United Arab Emirates (the)
2021-12-15,AR,63.0,15.620732988059272,Argentina
2021-12-15,BH,199.03352490421457,1771.8592105263158,Bahrain
2021-12-15,CH,75.0,196.76405746541656,Switzerland
2021-12-15,DE,273.5335249042146,226.4689795026637,Germany
2021-12-15,ES,212.06704980842912,95.2690781011932,Spain
2021-12-15,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-15,HK,106.03352490421456,6445.041516245487,Hong Kong
2021-12-15,IN,566.6005747126437,380.7713541630226,India
2021-12-15,PH,106.03352490421456,336.6612533333333,Philippines (the)
2021-12-15,SA,168.03352490421457,12.909915383148268,Saudi Arabia
2021-12-15,UA,106.03352490421456,73.61357136939773,Ukraine
2021-12-15,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-16,AE,411.1005747126437,69.13588516746411,United Arab Emirates (the)
2021-12-16,BE,106.03352490421456,370.9372707023061,Belgium
2021-12-16,CH,75.0,196.76405746541656,Switzerland
2021-12-16,DE,454.5670498084292,226.4689795026637,Germany
2021-12-16,ES,106.03352490421456,95.2690781011932,Spain
2021-12-16,FR,212.06704980842912,103.37630106197412,France
2021-12-16,GB,212.06704980842912,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-16,IN,335.0,380.7713541630226,India
2021-12-16,IT,106.03352490421456,205.2668746266676,Italy
2021-12-16,KR,106.03352490421456,492.531046931408,Korea (the Republic of)
2021-12-16,LB,273.5335249042146,594.6827884615385,Lebanon
2021-12-16,QA,106.03352490421456,189.43699292249264,Qatar
2021-12-16,SA,93.0,12.909915383148268,Saudi Arabia
2021-12-16,TR,75.0,101.35033220089797,Turkey
2021-12-16,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-17,AE,561.1005747126437,69.13588516746411,United Arab Emirates (the)
2021-12-17,BH,318.10057471264366,1771.8592105263158,Bahrain
2021-12-17,CH,62.0,196.76405746541656,Switzerland
2021-12-17,CY,106.03352490421456,128.54794076316074,Cyprus
2021-12-17,DE,242.5,226.4689795026637,Germany
2021-12-17,GB,212.06704980842912,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-17,HK,106.03352490421456,6445.041516245487,Hong Kong
2021-12-17,IN,212.06704980842912,380.7713541630226,India
2021-12-17,MA,106.03352490421456,74.6225484268279,Morocco
2021-12-17,NL,106.03352490421456,407.9605228317647,Netherlands (the)
2021-12-17,PH,106.03352490421456,336.6612533333333,Philippines (the)
2021-12-17,QA,106.03352490421456,189.43699292249264,Qatar
2021-12-17,SA,75.0,12.909915383148268,Saudi Arabia
2021-12-17,TR,106.03352490421456,101.35033220089797,Turkey
2021-12-17,UA,106.03352490421456,73.61357136939773,Ukraine
2021-12-18,AE,424.13409961685824,69.13588516746411,United Arab Emirates (the)
2021-12-18,BE,106.03352490421456,370.9372707023061,Belgium
2021-12-18,BH,106.03352490421456,1771.8592105263158,Bahrain
2021-12-18,DE,159.53352490421457,226.4689795026637,Germany
2021-12-18,GB,212.06704980842912,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-18,IN,212.06704980842912,380.7713541630226,India
2021-12-18,KR,106.03352490421456,492.531046931408,Korea (the Republic of)
2021-12-18,LB,212.06704980842912,594.6827884615385,Lebanon
2021-12-18,QA,106.03352490421456,189.43699292249264,Qatar
2021-12-18,SA,181.03352490421457,12.909915383148268,Saudi Arabia
2021-12-18,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-19,AE,199.03352490421457,69.13588516746411,United Arab Emirates (the)
2021-12-19,CH,106.03352490421456,196.76405746541656,Switzerland
2021-12-19,DE,348.5335249042146,226.4689795026637,Germany
2021-12-19,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-19,IE,62.0,69.61855904828312,Ireland
2021-12-19,IN,522.0335249042146,380.7713541630226,India
2021-12-19,IT,212.06704980842912,205.2668746266676,Italy
2021-12-19,NL,212.06704980842912,407.9605228317647,Netherlands (the)
2021-12-19,QA,167.5,189.43699292249264,Qatar
2021-12-19,SA,212.06704980842912,12.909915383148268,Saudi Arabia
2021-12-19,US,106.03352490421456,32.70372369087204,United States of America (the)
2021-12-20,AE,623.1676245210729,69.13588516746411,United Arab Emirates (the)
2021-12-20,BE,106.03352490421456,370.9372707023061,Belgium
2021-12-20,BH,212.06704980842912,1771.8592105263158,Bahrain
2021-12-20,CH,75.0,196.76405746541656,Switzerland
2021-12-20,DE,273.5335249042146,226.4689795026637,Germany
2021-12-20,FR,106.03352490421456,103.37630106197412,France
2021-12-20,GB,106.03352490421456,263.0771396904889,United Kingdom of Great Britain and Northern Ireland (the)
2021-12-20,HK,106.03352490421456,6445.041516245487,Hong Kong
2021-12-20,IN,106.03352490421456,380.7713541630226,India
2021-12-20,LB,106.03352490421456,594.6827884615385,Lebanon
2021-12-20,QA,106.03352490421456,189.43699292249264,Qatar
2021-12-20,SA,212.06704980842912,12.909915383148268,Saudi Arabia
2021-12-20,UA,106.03352490421456,73.61357136939773,Ukraine
2021-12-21,AE,93.0,69.13588516746411,United Arab Emirates (the)
